,Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed
14542,1,"Buster, Debra & Amos",2,307,0,3,2,5,0,2,1,1,1,2,1,3,50,41326,18f5e03814cc654435200d0df3cd9d44,0,"Total 7 pups dumped at wet market in Puchong. Due to space constraints, a shelter took 4 and despite the high cost at RM45 daily for 3 pups, they are boarded at clinic. These pups' tails are docked and vet said the tails were cut, not naturally born that way. Adoption fee covers vaccine at RM50 each. Adopters must commit to spay Debra, neuter Buster and Amos. Please call me for more information.",4645fcfae,0.0,4
11230,2,Putih & Kelabu,5,243,252,3,6,7,0,2,1,3,3,3,1,2,0,41401,9b2de561ba8dda4407b15c81aeb4a0a4,0,"These cats came to my house earlier this month and we took care of them since no one wants the cat. But my family and I will be moving to the UK in less than a month and I am afraid no one in the neighbourhood wants to take care of them. Please help them find a new home. They are litter-trained, cute and fun to play with. Both are healthy and well-nourished!",27a776558,3.0,2
1615,1,Miller & Louisa,12,141,103,3,1,5,0,2,2,1,3,1,1,2,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,"Look at these two beauties... they don't understand that their life is about to get really sad unless someone can adopt them... Their names are Miller the white colour and Louisa the black and tan Both are a year old vaccinated and spayed Urgent homes needed owner is very ill he is physically too week to take care of them. Please give them another loving home together. They are playful, loving and very loyal, they don't want to leave their owner. Not cat friendly, don't adopt if you have cats. Thank you for reading about them, have they touched your hearts the way they have touched mine?",352522dbd,6.0,2
70,1,QiQi,36,307,0,2,1,2,0,2,1,1,1,1,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,"I rescued QiQi with her sibling (Xiao Bai -) 3 years ago from the flood. She is very healthy, obedient, toilet trained and playful. I hope she can be adopted together with Xiao Bai since they never been separated since puppies and they can find good and loving care new family.",a9bc357f0,1.0,4
13894,2,Two Little Kittens,3,266,0,2,5,0,0,2,1,1,1,2,1,2,0,41326,cc5a63459216872ed9c753c11b43857c,0,"My two little kittens are very healthy and like most kittens that age, very playful too. I found them about a month ago (8/7) when I was out on my run near my house and they just appeared out of nowhere from an abandoned house. They looked really scared and hungry and was as if pleading with me to help them; didn't want to let me go and kept following me. So I took them home and they have been under my care ever since. Unfortunately I cant keep them (as much as I would have loved to) as a family member is allergic. They're fed only with special cat food and they have very good appetite. I'm not sure of their exact age but I'm guessing they might probably be around 3-4 months and they're both female, and I presume they're siblings. I would prefer that they find a proper home and if possible, they stay together. Hate to see them separated! Please adopt them! You are most welcome to come over to visit them.",2f73851f5,3.0,4
1374,1,Abandoned Puppies,12,307,0,3,1,2,0,1,1,3,3,3,1,3,0,41326,dde42cde12e9c4a9c98e5e130815c3a4,0,"abandoned at SS 3 kelana jaya shops area. Seems healthy ,Fed by shop tenants. In danger of being run over,caught by dog catchers",ee5ceb065,3.0,4
7717,2,Mochi & Pickles,3,266,0,2,2,7,0,2,1,2,2,2,1,2,0,41326,4498d142bb66b8e343c3fd2ff29308fe,0,- Able to eat kibbles (dry food) - Able to use litter box - They are both girls - must take both of them. They are sister and never separate since they were born,696b615fb,5.0,1
9062,1,Mudita,4,307,0,3,1,4,6,1,2,2,2,2,1,7,30,41326,517e79ebf2c18fe140193ddf5161e202,0,A wondering mother dog gave birth 8 puppies under my car outside my house. 1 weak puppies dead and the other 7 manage to survive till today. The puppies living in the back lane of my house together with the mother dog. I am providing a small space in my backyard to keep them temporary.,1349f68db,5.0,2
11498,2,Oyen N Stripe,6,265,0,3,1,4,0,1,2,2,2,2,1,2,0,41326,966c41ae3a2427fd7882e899525f8b4e,0,Please adopt this cat. I have to to let go them because i am too busy to take care of them. Both are active and healty.,0a1b56e66,4.0,2
12824,1,"Tucker, Sparky, Rocky & Princess",1,307,0,3,2,4,7,2,1,2,2,2,1,4,0,41336,4709b98b4e26f2354acf58dd3395fdf6,0,This four cutie ( New Year Gang) was related to Max. They were also born on the 1st of January Princess was the only female in the group. All puppies was very cute and active as I was taking care of them since they were born. I was hoping to get a potential and caring adopter for them by this week before Saturday because the man who put them up at his house is going to send them away in Kluang JB is there is still no potential adopter. Myself already got 2 dogs with me (also rescued) therefore I am unable to adopt any at the moment. I sincerely hope that those who are caring enough will contact me if you are keen to take up this puppies. Deworm and spray and the necessary will be arrange. Thank you very much for your love and concern..,55ccb364d,4.0,2
11382,1,Save ME Or I'll Die #50,2,307,0,3,3,0,0,2,1,3,3,3,2,2,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 28/3/10. I don't want to die,and I will love you immensely for saving me. Help!!! Please call ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them. Directions to Klang Dog Pound ================================ 1) Use Kesas Highway 2) Head for North Port till you see the signboard that writes ""Melbourne 14 Days"", then turn Right 3) Keep Left and turn Left at traffic light 4) Stay beside flyover and turn Right at immediate traffic light 5) Drive towards Sultan Sulaiman Industrial Estate 6) Go up first set of flyover 7) Keep Left till you see Pusat Kurungan Haiwan signboard 8) Turn Left 9) Drive on till you see gravel road work beside retention pond at the right 10) Turn in and turn Right till you reach a blue-roofed pound",d7fac1aa9,1.0,1
10947,1,Gigi&Stich( URGENT ADOPTION ),2,307,307,2,1,2,7,2,1,2,2,2,1,2,0,41326,89e38f1dc3b54154d9f976e67012ecc6,0,"Both are female, 2.5 months, mixed breed. They are in need or Urgent Adoption. Better before CNY. Please help spread the news too. Thanks for viewing! Contact=(Christina) for more info.",e2c1b469e,5.0,1
2472,2,Taco & Nacho,1,266,0,1,2,6,7,2,1,2,2,2,1,2,0,41332,c19fc47db363e9ac131d0ecbf25b9839,1,"2 very young kittens dumped behind our shop in Seremban 2. Still bottle-feeding when we found them, now in process of weaning to soft food (slow process as they have no mother). Cute as heck. 2 ekor anak kucing dibuang di belakang kedai. Masih menyusu semasa dijumpai sekarang sedang proses cerai susu (agak lambat sebab ibu tak ada untuk ajar makan dalam pinggan!). Sangat comel. Pls call .",e09995135,4.0,2
10159,1,No Name,8,307,0,1,1,2,3,2,1,2,2,2,1,3,0,41326,2712fc6b191c976c63105b3865278ec5,0,stray puppies wondered in to our shop. as we already have 4 dogs can't keep anymore dogs. hope someone will be kind enough to adopt them . or else we will have no choice but to move them out of the premises.,3eaa698d3,5.0,4
10605,1,Pups A To F,1,307,152,3,1,2,5,2,1,2,2,2,1,6,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"A to F are six pups about 6 weeks old. Two black and tan, two brown and two cream. Please call if you are interested and can give them a good home. Do bear in mind that pups at this young age require your time and attention. It will be great if you have an older dog at home. They also chew and bite things as part of normal teething stage in the early part of their life but caging n tying them up 24 hours is NOT the way. You will need time to train them and also provide them with chew toys. Vaccination and neutering are compulsory.",2b3387bd7,6.0,3
2417,2,"Siyam, Wallace, Pirate, Jumanji Plus 6",24,254,299,3,1,2,7,2,2,3,3,1,1,10,0,41327,cccb18b8f8b81862f9a1ebc65d651d22,0,"These 10 cats all lived with a family, they had to downsize and gave all the cats to a shelter. So terribly sad, please give them a loving home...",c14b2f3da,10.0,4
8165,1,QTs,2,307,0,3,2,4,7,2,1,2,2,3,1,5,0,41326,d551245eb2d52b83f3ab574f9fd1eb10,0,Stray mum gave birth in neighbours dumpster.,ed9936705,7.0,3
9437,2,Rescued Babies Searching New Home,2,264,266,3,1,7,0,3,2,2,1,2,1,4,0,41401,aab6a7b87edc56e6db4d992afb7fce10,0,-rescued 3 weeks ago from my dad's workplace. -their mom was killed by stray dogs. -they are right now perfectly healthy and is looking for a new home. -they are for free. im just helping them to get a good life. thanks. -any enquiries you can msg me on whatsapp at - adam,5aeba57be,2.0,3
1105,1,Stray Puppies,2,307,307,3,2,0,0,2,1,3,3,3,1,2,0,41327,dc13749b75ddaaeb5bb2e2e369adada1,0,"We found two stray puppies near our house, we already have two dogs so we can't keep them, contact us if interested.",2e6fc0342,2.0,4
4100,1,The Mighty Muffin Puppy Rangers,1,307,0,3,1,2,0,2,1,2,2,2,1,5,0,41326,5788b8639ed178795510a8cbe72ccc28,0,"UPDATE: These pups are all adopted already. Thank you! ---------------------------------------------------------------------- These super chubby pups are only 1 month old. There are 4 males and 1 female. All are brown except for one black pup (male). Two of the brown pups have long tails and another two have short tails. Adopters will receive a voucher for 3kg free Eukanuba puppy food. There is no adoption fee, however, interested adopters must agree to spay them when old enough. We can arrange for our regular vet at Taipan USJ, to provide spaying at cheap rate of only RM. This is much cheaper than most vets where price is usually at least RM or more. Amount shall be paid to vet upon adoption and just show the receipt when pup is old enough for spaying. Anyone interested to view the puppies, please contact me at. Located at Subang Jaya, Selangor",20cb13be9,12.0,2
1621,2,Yellow & White Kittens,2,266,0,3,4,7,0,2,1,2,2,2,1,4,0,41336,5dadb7b635592c54107f4d1afdc1a1b4,0,"Kittens found in the front yard of my house, often running around and we scared they will be harmed if left on the street, so we caught them and keep them until they find their future owner :)",1fe561ed9,5.0,1
7254,2,Spotty,4,266,0,2,7,0,0,1,1,2,1,2,1,2,0,41325,445ec440cf783180ab2e73c26ffe50f1,0,"these two little kittens are for adoption, very playful and manja, must be kept cageless indoors or monitored outdoor. new owner must love cats, ablt to take good care or them and responsible.",bc8bbffa4,4.0,4
10263,1,7 Lucky Cute Puppies,0,307,307,3,1,2,5,1,2,2,2,3,1,7,0,41326,793a857b0f2db4c0ed8fd9e38cc7cb5f,0,Rescued puppies. currently mother and kids at boarding for special care since its O month old baby.. puppies are very active and in good health condition as it is given special care. 3 weeks old now. free adoption Transport provided for klang area. Interested to give home for these kids? please call(vithiya) or(jack),8e68a9075,8.0,3
3832,2,Castle,1,299,266,1,3,0,0,1,1,2,2,2,1,3,0,41401,301a6bb31be7d655693e3e50084ad333,0,"This is Castle the Unstoppable. He is the only boy of the group, although not as brave as Rook, he is the fastest runner, climber, playful, an all round active kitten. He is used to human, but will speed off to hide if surprised He is one of a litter of 3 that I fostered. Originally belongs to my neighbor, but the mother cat moved the kittens over to my house after having her nest constantly disturb by children. The neighbor doesn't want them back. I already have an adult tomcat that is unfriendly toward the litter.",b2145e15d,1.0,1
3374,1,4 Pups 8 Weeks,2,307,307,3,2,5,7,2,2,1,1,2,1,4,0,41326,3b074cadd2350de62dca7056b9bab6f4,3,"FOR serious adopters only! If you are interested in adopting, kindly contact ==> Call/ SMS to Requirements for Adoption: ========================= All adoptions are subject to an interview and house check. Cost of vaccinations and neutering to be borne by adopter. Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",e27ac6865,13.0,3
8470,2,4 Kitten FOR ADOPTION URGENT,2,266,0,3,1,2,7,1,1,2,2,2,1,4,0,41367,60235cf93dec943aaf47385b6c01f85f,0,there is 4 kitten at my university but their mom is not around need someone to adopt them asap...help2...i already have to much cat huhuh...the mom in the pic is missing huhuh call asap for adoption i llive at uiam gombak,59ee91cf8,1.0,1
7573,1,Cute Puppies For Adoption,1,307,189,3,1,2,4,2,2,2,2,2,1,6,50,41401,430230aabdbdb7948efe8fb2fd94456b,0,Female dog gave birth to 8 little puppies. Looking for serious adopters who can take care of them. They are healthy and active.,0e61fe015,5.0,2
6161,2,Meow,5,266,0,3,1,7,0,1,1,2,1,2,1,4,0,41401,872bf93f37e020681ba32f0477fba35b,0,They were found in a rain in front of my house. Total of 7 cats in the house. All are in one big family. I have a cat mother gave birth two times in my house. They are all black and white colour. All these while been giving good quality food and going to vaccinate them.,95b24de4a,3.0,4
13563,2,"Tiger, Sweater, Timid & Demon",12,292,266,3,7,0,0,2,1,1,1,2,1,4,0,41326,2222536cb7776d9584ddb441fd22a91c,0,Our first batch of rescued cats. The mom delivered 4 kittens on the roof/awning.,6be26ea05,4.0,1
2630,2,"Oreo, Orange, Opal",15,243,0,3,1,3,7,1,1,2,2,1,1,3,0,41326,4c82a46c5803c7115221efe826da6ff3,0,"My friend adopted a pregnant stray who gave birth to these 3 kittens. He is no longer able to take care of them due to personal reasons and would like to give them to a loving home. Would prefer if they can be adopted together, since they have been living together in the same room since birth. Feel free to contact us: (Marcus) (Shaunie)",fcd19b26b,3.0,2
13364,2,Gandalf And Sarabi,1,266,265,3,1,6,7,1,2,2,2,2,1,2,0,41401,d7cf4662cc0b42ab8c2c46ea1e475f56,0,"2 kittens found at parking lot up for adoption. One (Gandalf) is approx 1 month + and the other one (Sarabi) is probably just about a month or slightly less. Both can eat food on their own and potty trained. Would appreciate it of can adopt both together as they are very close. Location: Kemensah Heights, Ampang Please call or email if you're interested:)",43894825a,3.0,4
9847,1,Scotty And Snowy,42,130,307,3,1,7,0,2,2,1,1,1,1,2,0,41326,50c29d41831474297fd116e6e0877c0f,0,"I am an owner of 2 dogs (Japanese Mixed Spitz). currently i am desperately looking for a good owner to adopt my dogs. The reason are because both my husband and me are leaving separately due to my 2 kids. I am leaving with my parents-in-law in KL while my husband is leaving in Subang with my 2 dogs and he is always away for business trip, therefore there's no one to help us to look after the dogs. At the moment, i'll be only be going back to Subang during the weekends with my kids (one is 2 1/2 yr old and another is coming to 4 months). We find that we are neglecting the 2 dogs and it is not good for them, that's why we urgently looking for a good owner who really loves dogs",79f358573,4.0,3
7249,2,Adorable Siblings Ipoh,1,266,0,3,1,4,7,2,1,2,2,2,1,2,0,41330,60689896aa0edff3a4f05b890bdafd26,0,Hi friends these kittens were found by my friend when she was walking her dog. These 2 adorable siblings kept on following her dog. No heart to live them there she took them home. We very much hope that they will get a home and a loving family. If you think you can open your home for these siblings you may contact me at.,8c7949266,5.0,2
8145,2,Male Kittens,3,265,266,1,1,6,7,1,2,2,1,2,1,2,0,41327,fd970cc91d06d82eebf046340137b272,0,For more info contact Alexis,db10909d5,2.0,2
673,1,Save Me Or I'll Die #25,24,307,213,3,1,2,5,2,2,1,1,1,1,4,0,41401,ee2747ce26468ec44c7194e7d1d9dad9,0,"PLEASE RESCUE/ADOPT ME FROM KLANG POUND OR I WILL BE PUT TO DEATH BY THIS WEEK, 14/3/10. Angelina is in ""Angelina"" shape now after 3 months of rehabilitation in our Transit. Her photo will be up dated soonest. Please call ----------------------------------------------------- Adoption Procedure: This dog has been caught by Majlis Perbandaran Klang, and if nobody comes forward to adopt it, it will be euthanized within a few days. Even owned dogs are also often caught, and the owners are not aware for it. Those wishing to adopt this pet from Klang Dog Pound, please follow the procedures below: 1. Drive to Pusat Kurungan Haiwan Lebuh Sultan Muhammad Kawasan Perindustrian Bandar Sultan Sulaiman Pelabuhan Klang Tel : (For Sat & Sun, opening hours are 8am - 12pm) 2. Secure a Borang Permohonan Tuntutan Anjing, Selepas Tempoh 7 hari. Complete it & ensure it is endorsed by the relevant officier & stamped with relevant chop. 3. Provide a photostated copy of your Identification Card or Passport with each application * policies & requirements stiffen day by day * Advisable to provide a copy of IC/Passport per application (Just in case) * Secure extra application if there is any inkling of additional adoption. * Don't expect any leniency (Even we committee members, slaves & beggars don't have any unless OK by big guy) 4. Please be compassionate. Put yourself in their shoes: locked inside knowing its over. THEY DO KNOW. 5. I have seen them wasted much close to D days. Don't tell me they didn't undergo heightened enxiety & despair in anticipation of the end. What's worse their owners never came for them.",a76983523,4.0,4
4673,1,Jinny & Jenny,2,72,141,2,2,0,0,1,1,2,2,2,1,2,0,41326,a0c509ba0ec35ef6b77d8528673db473,0,"It was raining heavily when this Dog-Lover girl found Jinny & Jenny soaking wet in a carton box right in the middle of a basketball court, shivering and in fear. She had to seek for help from others to adopt these poor girls as she is not staying in own house and unable to keep them, despite she wanted to, so much. This J&J sisters are both very quiet, calm and submissive, knowing that their fate lies in the hands of those who are looking after them. They would not be able to survive if being released back on the streets because they were borned in a home and got abandoned. If you really want to find companions who would accompany you and love you with all their heart, Jinny & Jenny are passionately waiting for you to bring them home, for good. I can be contacted via WhatsApp if you are interested to adopt this lovely sisters.",02f7300db,3.0,1
10148,1,4 Puppies ( 7 Weeks ),1,307,0,3,3,5,7,2,2,2,1,2,1,4,0,41326,3b074cadd2350de62dca7056b9bab6f4,0,"If you are interested in adopting, kindly contact me by call or sms . Requirements for Adoption: ========================= Cost of vaccinations and neutering to be borne by adopter.Vaccinations and neutering/spaying at 6 months of age are COMPULSORY.",991c722c1,13.0,2
5525,2,Naughty Four,2,265,0,3,2,3,0,2,2,2,2,2,1,4,0,41327,bbf1090092818dea936fc7f5b7cd324b,0,"We had rescued their mother who was pregnant at the the time. She had 4 lovely kittens. They are now eating solid food and love cat biscuits and steamed fish. 2 brown and 2 orange kittens : The naughty four are up for adoption for loving and caring families. All are equally adorable, playful and active ! Only for serious and committed individuals. We will spay the kittens for free once they are older. Anyone interested in adopting a kitten with their mother are also very much welcomed !",a0c64fbad,5.0,4
2802,1,Klang Pups,1,307,0,3,2,5,7,2,1,2,1,2,1,4,0,41401,c00756f2bdd8fa88fc9f07a8309f7d5d,0,4 puppies need urgent homes. These are 4 puppies found outside the housing area. left 4 females puppies. Adopters will need to spay them when they reach 5 months of age Gender: 4 Females Age: 5 weeks old Contact:,e6b64b212,4.0,3
6296,1,Fatty Golden Retrievers For Adoption,1,109,141,3,1,2,7,2,2,1,1,2,1,7,200,41326,ffd648ffe5e574b912fcb92a8e0d5520,0,My Golden retriever Labrador mix gave birth to 7 adorbale cuties who are growing up fast so book them now if your interested. Theyr almost a month old can walk a lil wobbly but theyr getting there! Serious and loving people only plz WhatsApp me,409ccc60e,11.0,4
14689,1,URGENT ADOPTION!,4,307,307,2,1,2,0,2,1,3,3,3,1,2,0,41326,d124fabcf175cc1af4c7b3889cd0df48,0,I picked these lovely pups up because they're starving in a playground abandoned by previous owner. But sadly I can't keep them for long because I personally owned 3dogs and is moving to apartment this mth. I wish someone kind hearted willing to take them in and love them forever as a family. Please call me im located at seri kembangan balakong selangor area. Very urgent plz spread! Thx guys!,017d966eb,5.0,2
1608,2,3 Kitties,3,266,266,3,2,6,7,1,1,2,2,2,1,3,0,41401,354aa4cc9494c0c1e5b6739f56bee2f5,0,"There are three kittens I'm putting up for adoption, and they're all siblings. (Brown Girl is adopted) There's Grey Girl and Brown Boy left for adoption, they're both well behaved, friendly, loves human attention, very playful, and loves food! Both of them are very ""talkative"" and adorable They're both litter-trained. They're mostly indoor kittens but they do go out sometimes with my other cats and come back home together. The reason why I put these three adorable kittens up for adoption is because I have too many cats and I can't keep anymore. If I did, I would have a total of seven cats. Trust me, if I could, I would've taken care of them myself, but I couldn't. If you do decide to adopt any of these kittens, thank you. I'm sure they will be a very special addition to your family. If interested, contact. Whatsapp or text only please. Thank you.",8867ee30a,6.0,3
12685,1,3 Musketees,1,307,307,3,2,7,0,2,1,2,2,2,1,3,0,41326,11062c8f5cbf4bac42502bbfd7b6d8ec,0,3 adorable pups. abandoned. possibly 1 month old. c 4 yr self,52820e80e,4.0,1
13862,2,Husky,1,266,0,2,6,7,0,2,1,1,1,2,1,3,0,41326,21d5cfba20cb42817fdcbef36d6543c3,0,"Gorgeous female grey kitten for adoption. Gentle. Vaccinated and dewormed. Booster required in a month's time. No caging, must agree to neutering and to be kept indoors, preferably. Call for more information.",ee50b9066,1.0,2
10753,2,Orange & Black (Pls Read Below),1,266,0,3,1,3,4,1,1,3,1,3,1,2,0,41327,307ab9ff7ea767d1ceed1a5ebb3bb67f,2,"Contact me ONLY if you have read everything below and that you are serious of adopting them after asking permission from the people around you. This is a long time commitment. ""Please remember that these are living souls. They need consistent care, attention and boundless love. They will grow up, make messes and trouble, they will cause you to spend some money on their food and medical but they will love you if you love them equally. If you are serious about adopting a family member and you are willing to spend time, money and effort to take care of the kittens then by all means contact me and I will be glad to give them to you. I will be expecting for updates till I feel they are in a good home."" .............................................................................................................................. *Conditions (details will be discussed when you contact me, preferably whatsapp) : - Will be available end of January. - There are milk bottle chargesthe duration that I foster. I do not gain any profit from this as it is only the money I spent for the food. Receipt for one bottle will be shown as proof. Rm7.50/per goat milk bottle. I have used 20 bottles so far. - Please bring them for vaccination, deworming. This is crucial and please spay/neuter when the time is right to reduce the homeless strays we have. About the kitten : Male = Orange/Yellow/Ginger (Bent tail) Pink nose, pink paws Age = Estimation around 2-4 days old when found on /. Personality - Orange is gentle and very kind cuz he loves to groom his sister. ............................................................................................................................... Story : / : I was out for dinner with a friend at Centrepoint BU and we heard tiny meows near the drain of the parking lot. I went to look and found these two kittens all wet and muddy near the bushes. It was raining and we waited to see if the mother was around. No mom on sight so I took them back to clean and warm them up (1.30am). I went back to the place with them in a box and left them where I found just in case the mother comes back and I left. Around 7.30am, I went back to the place to find them still there and I asked around if they have seen the mother cat but they said no where to be found. So I took these survivors in, went to the clinic to see if they have chance to survive, and the Doctor said these guys are really strong. So YAY!",b7575471f,10.0,3
11197,1,Sammy And Maxie,5,109,141,3,5,0,0,2,1,1,1,2,1,2,0,41415,984f0fac4eb69c3c10980c4f5e43a968,0,"A contrator brought a pair of cute puppy...they are so adorable. Since we have Sugar, its gonna be a full house to have another 2 more puppies in the house. They are so loveable and funny, easy to manage and i'll make an effort to toilet trainning them. After 2 months, they are well adjusted living in the house and make my life easier because they are well trained to stay in the house. Yet, my husband still think we have to let go Sammy to another wonderful pet lover that stay around Labuan.",7115607a0,2.0,3
7802,2,Huey And Dewey,6,247,254,2,2,6,7,1,1,2,1,2,1,2,0,41326,bfa8d32cc12199d2eab33057963bae7c,0,These 2 sisters were found under a car on a busy road along Taman Danau Desa last week. Both of them were thin and scared. I took them to my workplace and had been feeding them. The vet said they are healthy. I am unable to care for them as I have 11 dogs plus my boss will not allow any pets here as we run a language centre. I will keep them for another week or so and then I may have to let them go to a residential area with the hope a good samaritan will adopt them. Please help. I am ok to sponsor the spaying and vaccination costs. Call me at. TQ.,90c5437de,1.0,2
14405,1,Male Puppies,2,307,0,1,1,2,5,3,1,1,1,2,1,3,0,41326,e6d233a3d7d6e778300514c6abe3e873,0,"Helping to post on behalf of someone. Please call Joanna at if any of you are interested in adopting these cute pups. Just rescued, they are about one and half months to two months old. Bringing them for vaccination and deworming soon. If anyone can help foster them temporarily, please also let her know. Thanks.",2f532707f,4.0,4
377,1,Maple And SpiderDog,2,307,307,3,1,2,5,1,1,2,1,2,1,2,0,41401,9e8af47c810665737b8214d36fe53b73,0,Puppies rescued. 1 male and 1 female.,b4eb7f4df,1.0,2
